model_path,test_type,path_res,entity_res
AttnIO_epoch-2,seen,15.36	30.14	36.41	46.65	58.83	1387,18.17	39.37	50.04	65.1	81.76	1387
AttnIO_epoch-2,unseen,9.45	15.57	16.33	16.43	16.54	931,23.63	57.04	60.15	60.47	60.69	931
AttnIO_epoch-4,seen,17.66	32.16	41.6	53.5	65.47	1387,19.54	37.85	49.03	64.17	80.39	1387
AttnIO_epoch-4,unseen,15.47	24.06	25.56	25.67	25.67	931,33.94	57.68	61.01	61.33	61.44	931
AttnIO_epoch-6,seen,19.47	35.69	44.41	56.02	65.47	1387,22.06	42.97	54.58	70.08	83.56	1387
AttnIO_epoch-6,unseen,11.82	15.57	16.54	16.54	16.54	931,27.18	56.93	59.51	59.94	59.94	931
AttnIO_epoch-8,seen,17.66	32.66	41.53	53.42	62.22	1387,19.25	40.09	52.7	69.21	82.77	1387
AttnIO_epoch-8,unseen,15.36	23.74	25.13	25.24	25.24	931,32.01	62.41	66.27	66.92	66.92	931
AttnIO_epoch-10,seen,18.46	34.75	44.63	55.73	66.62	1387,20.04	39.8	52.27	65.75	79.45	1387
AttnIO_epoch-10,unseen,12.03	17.4	18.26	18.47	18.47	931,25.67	58.54	62.94	63.37	63.37	931
AttnIO_epoch-12,seen,19.47	34.9	43.33	56.24	65.54	1387,20.91	40.66	52.05	68.78	81.76	1387
AttnIO_epoch-12,unseen,10.42	16.0	17.08	17.29	17.4	931,22.77	59.72	64.34	64.88	64.98	931
AttnIO_epoch-14,seen,20.84	36.41	45.57	57.75	67.34	1387,22.06	41.89	52.99	67.92	80.1	1387
AttnIO_epoch-14,unseen,12.67	17.08	18.47	18.9	18.9	931,23.52	61.44	66.6	67.67	67.78	931
AttnIO_epoch-16,seen,21.05	36.41	47.01	58.69	68.93	1387,22.06	41.17	54.07	68.49	81.47	1387
AttnIO_epoch-16,unseen,11.49	15.68	16.54	16.86	16.97	931,23.09	57.25	60.47	61.12	61.22	931
AttnIO_epoch-18,seen,19.97	36.77	46.72	58.04	68.49	1387,21.2	41.74	53.64	67.48	81.54	1387
AttnIO_epoch-18,unseen,15.36	21.48	22.88	23.09	23.2	931,27.18	57.89	61.33	61.55	61.76	931
AttnIO_epoch-20,seen,19.54	37.42	45.64	57.46	66.55	1387,20.33	42.39	53.35	68.49	80.82	1387
AttnIO_epoch-20,unseen,7.41	9.99	10.63	10.63	10.74	931,22.56	55.53	58.54	58.75	58.86	931
